antonym	concept	model_name
атеист	мусульманин	v8_latent_finetune
лев	мышь	v8_latent_finetune
подчинённый	начальник	v8_latent_finetune
кактус	кувшинка	v10_rl_09_lcm_lora_s8r64
верёвка	ожерелье	v8_latent_finetune
волк	олень	v8_latent_finetune
росток	лавина	v10_rl_09_lcm_lora_s8r64
салат	омлет	v8_latent_finetune
массив	лдсп	v10_rl_09_lcm_lora_s8r64
свобода	ошейник	v8_latent_finetune
ель	пальма	v8_latent_finetune
свободная рубашка	легинсы	v10_rl_09_lcm_lora_s8r64
тигр	панда	v8_latent_finetune
поганки	лютики	v10_rl_09_lcm_lora_s8r64
дерево	пенек	v8_latent_finetune
спринтеры	марафонцы	v10_rl_09_lcm_lora_s8r64
естественность	пирсинг	v8_latent_finetune
полная луна	полумна	v8_latent_finetune
динамик	микрофон	v10_rl_09_lcm_lora_s8r64
пустынник	полярник	v8_latent_finetune
кактус	мох	v10_rl_09_lcm_lora_s8r64
барьер	портал	v8_latent_finetune
атеист	мусульманин	v10_rl_09_lcm_lora_s8r64
пропасть	посох	v8_latent_finetune
спортзал	постель	v8_latent_finetune
лев	мышь	v10_rl_09_lcm_lora_s8r64
руда	поталь	v8_latent_finetune
подчинённый	начальник	v10_rl_09_lcm_lora_s8r64
океан	пруд	v8_latent_finetune
верёвка	ожерелье	v10_rl_09_lcm_lora_s8r64
пустота	рамка	v8_latent_finetune
волк	олень	v10_rl_09_lcm_lora_s8r64
гниль	сакура	v8_latent_finetune
салат	омлет	v10_rl_09_lcm_lora_s8r64
баба яга	санта-клаус	v8_latent_finetune
свобода	ошейник	v10_rl_09_lcm_lora_s8r64
впадины	скулы	v8_latent_finetune
огнедевочка	снегурочка	v8_latent_finetune
ель	пальма	v10_rl_09_lcm_lora_s8r64
грязь	стразы	v8_latent_finetune
тормозница	стрелочница	v8_latent_finetune
тигр	панда	v10_rl_09_lcm_lora_s8r64
труба	таз	v8_latent_finetune
ластик	телевизор	v8_latent_finetune
дерево	пенек	v10_rl_09_lcm_lora_s8r64
свобода	темница	v8_latent_finetune
естественность	пирсинг	v10_rl_09_lcm_lora_s8r64
мусор	тимьян	v8_latent_finetune
полная луна	полумна	v10_rl_09_lcm_lora_s8r64
смокинг	толстовка	v8_latent_finetune
хаос	топик	v8_latent_finetune
пустынник	полярник	v10_rl_09_lcm_lora_s8r64
молоток	топор	v8_latent_finetune
пустошь	тропинка	v8_latent_finetune
барьер	портал	v10_rl_09_lcm_lora_s8r64
бейсболка	тюбетейка	v8_latent_finetune
пропасть	посох	v10_rl_09_lcm_lora_s8r64
пешка	ферзь	v8_latent_finetune
плоская крыша	фукигаэси	v8_latent_finetune
спортзал	постель	v10_rl_09_lcm_lora_s8r64
шорты	хиджаб	v8_latent_finetune
чистота	хмель	v8_latent_finetune
руда	поталь	v10_rl_09_lcm_lora_s8r64
сова	чайка	v8_latent_finetune
океан	пруд	v10_rl_09_lcm_lora_s8r64
ластик	чернила	v8_latent_finetune
блондинка	шатенка	v8_latent_finetune
пустота	рамка	v10_rl_09_lcm_lora_s8r64
мороженое	шашлыки	v8_latent_finetune
гниль	сакура	v10_rl_09_lcm_lora_s8r64
пенсионер	школьница	v8_latent_finetune
баба яга	санта-клаус	v10_rl_09_lcm_lora_s8r64
отказ	шопинг	v8_latent_finetune
впадины	скулы	v10_rl_09_lcm_lora_s8r64
долгий	шот	v8_latent_finetune
меч	щит	v8_latent_finetune
огнедевочка	снегурочка	v10_rl_09_lcm_lora_s8r64
antidote	venom	v8_latent_finetune
грязь	стразы	v10_rl_09_lcm_lora_s8r64
саурон	арагорн	v8_latent_finetune
тормозница	стрелочница	v10_rl_09_lcm_lora_s8r64
подвал	беседка	v8_latent_finetune
труба	таз	v10_rl_09_lcm_lora_s8r64
клеи	гвозди	v8_latent_finetune
гидрофоб	гидрогель	v8_latent_finetune
кактус	гипсофила	v8_latent_finetune
аристократы	гопники	v8_latent_finetune
огнетушитель	кочерга	v8_latent_finetune
трюфель	кукуруза	v8_latent_finetune
дикий мышь	мейнкун	v8_latent_finetune
тесть	невестка	v8_latent_finetune
известный человек	нопэрапон	v8_latent_finetune
разрыв бумаги	оригами	v8_latent_finetune
цепь	перстень	v8_latent_finetune
пешеход	приора	v8_latent_finetune
футболка	риза	v8_latent_finetune
миксер	сита	v8_latent_finetune
ботинки	сланцы	v8_latent_finetune
рассыпь	стопка	v8_latent_finetune
сфера	тетраэдр	v8_latent_finetune
сомбреро	ушанка	v8_latent_finetune
резервуары	фонтаны	v8_latent_finetune
руины	храм	v8_latent_finetune
